Auction number	PartNumber	Condition	Description	Quantity in stock	Quantity sold	Price	Shipping cost	Picture link
								
								
mem-store															
								
201223032628		New	500666-B21 16GB (1X16GB) DDR3 1066MHz Memory HP Proliant DL580 G7, DL585 G7	58	26	180.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/tz4AAOSwaNBUfkvo/$_1.JPG?set_id=880000500F
201223033994		New	500666-B21 16GB DDR3 1066MHz Memory HP Proliant ML330 G6 ML350 G6 ML370 G6	10	0	180.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/TE8AAOSwj0NUfkwt/$_1.JPG?set_id=880000500F
201232789831		New	647901-B21 16GB PC3L-10600 Memory HP ProLiant DL180 G6, DL360 G6, DL370 G6	30	15	159.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/tiIAAOSw1ZBUuHG9/$_1.JPG?set_id=880000500F
201233008036		Used	Waage Electric Stove Hot Plate 1600W Model No: 1212-5-1; Serial No: 14581	1	0	380.0 USD		http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/8z4AAOSwDk5Tywpw/$_1.JPG?set_id=880000500F
321607489871		New	A02-M316GB1-2= 16GB (2x8GB)DDR3 1333MHz PC3-10600 ECC Memory Cisco UCS C250	20	0	136.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$(KGrHqN,!h0E6HQpQFj7BOu)JIhiLQ~~60_1.JPG?set_id=8800005007
191442166298		New	4GB PC3-8500 DDR3-1066 SODIMM Memory for Acer laptops	25	3	31.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$T2eC16VHJHEE9ny2rTo9BQN,Hk5dbQ~~60_1.JPG?set_id=880000500F
321613965813		New	A6960121 8GB DDR3 1600MHz PC3L-12800 UDIMM ECC Memory Dell Precision T1700	20	0	77.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/eNgAAOSwq7JUIiYx/$_1.JPG?set_id=880000500F
201239187629		New	A6960121 8GB PC3L-12800E UDIMM Memory PowerEdge C5220 R210 II T2 T110 II R620	20	12	77.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/eNgAAOSwq7JUIiYx/$_1.JPG?set_id=880000500F
321613986199		New	SNPYWJTRC/4G 4GB PC3L-12800E UDIMM Memory Dell PowerEdge C5220 C6220 II, T110 II	20	4	41.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2-oAAOSw2XFUiM8b/$_1.JPG?set_id=880000500F
201239206070		New	A7303660 4GB PC3L-12800E UDIMM Memory Dell PowerEdge R210 II R220 T20 T320 T420	20	0	41.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2-oAAOSw2XFUiM8b/$_1.JPG?set_id=880000500F
201240712808		New	500662-B21 64GB(8X8) DDR3 1333MHz Memory HP BL280 G6 BLx220 G6 BL460c G6/G7 New	57	0	576.0 USD	49.99 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Zn4AAMXQAx9RNQBc/$T2eC16ZHJG8E9nyfoTcTBRNQBcu,mw~~60_1.JPG?set_id=880000500F
191448406151		New	A6222873 32GB PC3L-10600L LRDIMM Memory DELL POWEREDGE C6220 M620 M820 R620 R720	10	0	310.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/7gYAAOxyFPNSJ535/$T2eC16V,!yMFIb+dsF7+BSJ534OB1w~~60_1.JPG?set_id=880000500F
191450403968		New	A6994447 4GB PC3L-12800E 1.35V UDIMM Memory Dell Precision Workstation T1700	27	0	42.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/KKAAAMXQVT9TCAIm/$_1.JPG?set_id=880000500F
191450614703		New	44T1498 4GB PC3-10600  DDR3 1333MHz VLP RDIMM Memory IBM Blade HS22  	10	0	40.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$(KGrHqN,!rkE88hC-)(oBPVn(qMdj!~~60_1.JPG?set_id=8800005007
321620106032		New	90Y3101 32GB DDR3 PC3- 8500R 1066MHz 1.35V Memory IBM x3690 X5 x3850 X5 x3950 X5	20	0	310.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QSMAAOSwQItT8qjy/$_1.JPG?set_id=880000500F
191453541134		New	6GB (4GB+2GB) PC2-5300 DDR2-667 200pin SODIMM Memory Apple MacBook Pro	50	22	85.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$(KGrHqJ,!i!E8,nVc!WCBPV9iV6k1g~~60_1.JPG?set_id=8800005007
191454743282		New	MEM-7825-H3-1GB= 1GB Memory Cisco MCS 7825-H3 New	20	0	19.0 USD	45.0 USD	http://i.ebayimg.com/19/!BdqpDigBGk~$(KGrHqMH-C8ErfzEe+2ZBK55MwuWFg~~_1.JPG?set_id=8800005007
321622572483		New	49Y1431 49Y1555 8GB DDR3 1333MHz VLP Memory BLADECENTER  HS22 7809 HS22V 7871	20	20	76.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$(KGrHqQOKjwE6ngy7(uKBO)ts1HSdw~~60_1.JPG?set_id=8800005007
201247891373		New	44T1571 4GB  PC3-10600 DDR3-1333 ECC UDIMM for IBM SystemX3200 M3 	45	2	47.0 USD	45.0 USD	http://i.ebayimg.com/02/!BlkkSDwB2k~$(KGrHqEH-DcEtt9P3uwGBLcLy5c8P!~~_1.JPG?set_id=8800005007
321624119841		New	46W0787 46W0788 8GB PC4-17000 DDR4-2133 ECC/REG Memory IBM System x3650 M5 5462	10	0	126.0 USD		http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/llkAAOxy4YdTTd9o/$_1.JPG?set_id=880000500F
191458301717		New	03T7861 4X70F28589 8GB DDR4-2133 ECC/REG Memory ThinkServer RD550 RD650 TD350	10	0	126.0 USD		http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/llkAAOxy4YdTTd9o/$_1.JPG?set_id=880000500F
321624144285		New	8GB (1x8GB) DDR4-2133 PC4-17000 UDIMM non-ECC 288pin Memory for Desktops	10	0	110.0 USD		http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/llkAAOxy4YdTTd9o/$_1.JPG?set_id=880000500F
201253373702		New	128MB FLASHDISK ( FLASH CARD) PCMCIA PC CARD ATA SANDISK P/N SDP3B-128-584	10	0	75.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/8uYAAOSwc0FUoyLK/$_1.JPG?set_id=880000500F
201253546262		New	00D5024 4GB (1x4GB) DDR3-1600 PC3L-12800 RDIMM Memory x3650 M4	20	20	46.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/LqsAAOxygj5SjTnB/$_1.JPG?set_id=880000500F
321632184848		New	UCS-MR-1X082RZ-A 8GB DDR3 1866MHz PC3-14900 RDIMM Memory Cisco UCS C220 B3	20	8	86.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/cA8AAOxyi-ZTWsSz/$_1.JPG?set_id=880000500F
321635763767		New	46C7482 8GB DDR3 1066MHz Memory IBM System x 3200 M3 7327 x3250 M3 4251 x3850 x5	18	9	76.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/gIAAAOxy88lRYK1z/$T2eC16F,!zcE9s4g0uI2BRYK1yiThw~~60_1.JPG?set_id=880000500F
321635857695		New	647897-B21 8GB PC3-10600 Memory HP ProLiant DL360 G6 DL370 G6 DL380 G6 ML150 G6 	25	2	72.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$(KGrHqYOKp0E6YyeCV52BOuv1b(4sQ~~60_1.JPG?set_id=8800005007
191474208185		New	4GB DDR3-1333 SODIMM Memory for ThinkPad T410, T420,T510, T520, W510, W520, W701	38	12	31.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$T2eC16dHJI!E9qSO9)YiBQOTmp5c)Q~~60_1.JPG?set_id=880000500F
321637230574		New	708641-B21 16GB PC3-14900 DDR3 1866MHz Memory HP Proliant SL270s G8 , WS460c G8	74	0	170.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/GXkAAOxyTjNSlmA7/$_1.JPG?set_id=880000500F
321637475196		New	A7910488 16GB DDR4 2133MHz PC4-17000 ECC Reg Dell R7910 T5810 T7810 T7919 ( XL )	7	0	250.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/tA4AAOSw8lBTqKd6/$_1.JPG?set_id=880000500F
191476304471		New	SNP1R8CRC/16G 16GB DDR4-2133 PC4-17000 Reg Dell PowerEdge C4130 M630 R430 R530	7	0	250.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/tA4AAOSw8lBTqKd6/$_1.JPG?set_id=880000500F
